"quote_price","solo","couple","family","group","others","number_of_days_travelled","quote_delay","platform_app","platform_qw","platform_web","discount_0%","discount_5%","discount_10%","discount_15%","discount_20%","Specified Items","Adventure Activities","Snow Sports","Extra Cancellation","Rental Vehicle Insurance Excess","Cruise Cover","Gadget Cover","Existing Medical Condition(s)","Motorcycle Cover","extra_cancellation_amount","carer_load_ratio","Asia","Europe","Oceania","Middle East","North America","Africa","South America","Central America","Caribbean","Worldwide","log_ppp","average_ppp","human_rights_index","rule_of_law_index","water_death_rate","avg_crime_rate","num_people","convert"
151,1,0,0,0,0,12,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.92,0.96,0.1,49.3,1,0
928,0,1,0,0,0,55,12,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5000,0,0,0,0,0,0,0,1,0,0,0,2.183195073,152.4737469,0.823333333,0.663333333,0.6,63.0666666666667,2,0
464,0,1,0,0,0,10,15,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.380941944,2.404041407,0.8,0.43,21.3,79.7,2,0
70,1,0,0,0,0,3,36,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.139859259,1.379937,0.92,0.99,0.1,47.1,1,0
245,1,0,0,0,0,8,205,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.978225419,95.109833,0.93,0.95,0.4,22.6,1,0
103,1,0,0,0,0,16,58,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.978225419,95.109833,0.93,0.95,0.4,22.6,1,1
504,0,0,1,0,0,42,32,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0.660215326,4.573148733,0.775,0.83,0.1,19.085,3,0
77,1,0,0,0,0,10,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.146883061,0.713045,0.94,0.99,0.1,38.9,1,0
196,1,0,0,0,0,36,11,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,0,1,0,0,0,0,0,0,0,0,-0.167892356,0.679372,0.88,0.96,0,47.4,1,0
82,1,0,0,0,0,16,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.978225419,95.109833,0.93,0.95,0.4,22.6,1,0
148,1,0,0,0,0,24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.262921912,0.545856,0.91,0.9,0.05,41.45,1,0
77,1,0,0,0,0,9,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.146841302,1.402301189,0.74,0.68,1.7,50.7,1,1
380,1,0,0,0,0,29,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,0,0,0,0,1,0,0,0,0,0,0,1,0.92,0.96,0.1,49.3,1,0
426,1,0,0,0,0,7,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,0
225,1,0,0,0,0,27,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.653126736,4.499111295,0.566666667,0.663333333,2.366666667,33.6333333333333,1,0
109,1,0,0,0,0,20,55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.978225419,95.109833,0.93,0.95,0.4,22.6,1,0
163,0,0,1,0,0,39,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,-0.084732313,0.822749614,0.85,0.78,0.766666667,41.3333333333333,3,0
102,0,1,0,0,0,8,43,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.770448976,58.94527199,0.88,0.86,8.3,53.31,2,1
150,1,0,0,0,0,17,23,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.375545893,2374.356313,0.705,0.68,6.1,34.8,1,1
120,1,0,0,0,0,17,63,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.548088225,3.532549249,0.19,0.21,0.2,24.9,1,0
504,0,1,0,0,0,22,100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.024636053,0.944852348,0.845,0.875,4.7,53.3,2,0
406,0,0,1,0,0,18,8,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5000,0.25,1,0,0,0,0,0,0,0,0,0,0.042644576,1.103175419,0.725,0.82,0.9,37.1,5,0
207,1,0,0,0,0,121,52,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.375645638,2374.901699,0.785,0.52,6.5,39.9,1,0
346,0,0,1,0,0,33,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.842417478,6956.927504,0.41,0.35,0.9,42.2,4,0
1042,0,1,0,0,0,85,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,2.27090264,186.5961332,0.724444444,0.587777778,2.49,56.16,2,0
185,1,0,0,0,0,24,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.587423839,38.67442263,0.46,0.35,9.65,40.55,1,0
204,0,1,0,0,0,8,104,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.152579866,1.4209535,0.94,0.99,0.15,47.4,2,0
108,0,0,0,1,0,7,121,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1000,0,0,0,1,0,0,0,0,0,0,0,0.139859259,1.379937,0.92,0.99,0.1,47.1,3,0
423,0,0,1,0,0,30,32,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5000,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0.870105943,7.414910998,0.85,0.71,16.1,75.4,4,0
46,1,0,0,0,0,7,112,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.068909928,117.195228,0.88,0.86,8.3,42.45,1,1
124,0,1,0,0,0,9,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,2,0
72,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.139859259,1.379937,0.92,0.99,0.1,47.1,1,0
99,1,0,0,0,0,1,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,0,0,1,0,0,0,0,0,1,0,0.135571204,1.36637908,0.92,0.99,0.1,38.955,1,0
142,0,1,0,0,0,14,15,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.068909928,117.195228,0.88,0.86,8.3,42.45,2,0
87,1,0,0,0,0,13,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,0
547,0,1,0,0,0,7,110,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.139859259,1.379937,0.92,0.99,0.1,47.1,2,0
320,1,0,0,0,0,57,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.050754117,0.889704696,0.77,0.79,9.3,57.3,1,0
156,0,1,0,0,0,13,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,2,0
235,0,1,0,0,0,16,121,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.842417478,6956.927504,0.41,0.35,0.9,42.2,2,1
212,0,0,1,0,0,20,15,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,-0.150159396,0.707686,0.9,0.966666667,0.066666667,43,3,0
225,1,0,0,0,0,8,355,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.152579866,1.4209535,0.94,0.99,0.15,47.4,1,0
578,0,1,0,0,0,44,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.652578495,44.93435322,0.72,0.65,18,56.4,2,0
503,0,0,1,0,0,45,193,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.062752247,11.554529,0.41,0.18,0.5,40.9,4,1
115,0,1,0,0,0,8,108,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,2,0
153,0,1,0,0,0,17,48,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.978225419,95.109833,0.93,0.95,0.4,22.6,2,0
394,0,1,0,0,0,10,85,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.139859259,1.379937,0.92,0.99,0.1,47.1,2,0
258,1,0,0,0,0,133,73,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.167892356,0.679372,0.88,0.96,0.1,47.4,1,0
213,0,0,1,0,0,38,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.162825854,0.687344,0.895,0.96,0.1,51.35,2,0
79,1,0,0,0,0,14,30,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.164938461,1.46197,0.96,0.99,0.2,47.7,1,0
555,1,0,0,0,0,14,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,0
385,0,1,0,0,0,13,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,2,1
60,0,0,1,0,0,10,54,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.978225419,95.109833,0.93,0.95,0.4,22.6,2,0
285,1,0,0,0,0,5,113,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.050754117,0.889704696,0.77,0.79,9.3,57.3,1,1
253,1,0,0,0,0,31,18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.022917862,1.0541875,0.925,0.98,0.15,35.25,1,0
46,1,0,0,0,0,4,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.139859259,1.379937,0.92,0.99,0.1,47.1,1,0
631,1,0,0,0,0,17,77,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,1,0,0,0,0,0,0,0,0,0,-0.094717133,0.804049649,0.71,0.96,0.1,23.5,1,0
350,0,1,0,0,0,21,140,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.055181784,1.135486,0.9,0.97,0.2,45.2,2,0
276,1,0,0,0,0,45,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.591633196,3905.109319,0.526666667,0.38,6.666666667,42.0666666666667,1,1
252,1,0,0,0,0,44,120,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5000,0,0,1,0,0,0,0,0,0,0,0,-0.167892356,0.679372,0.88,0.96,0.1,47.4,1,0
268,0,1,0,0,0,28,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.286827565,19.35653268,0.56,0.38,4.2,42.8,2,0
1081,0,0,0,0,1,32,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.020853139,10.49187576,0.47,0.39,7,37.9,2,0
1261,0,1,0,0,0,66,88,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5000,0,0,1,0,0,0,0,0,0,0,0,-0.206905369,0.621004333,0.913333333,0.923333333,0.1,43.6333333333333,2,0
46,1,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.978225419,95.109833,0.93,0.95,0.4,22.6,1,1
51,1,0,0,0,0,7,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.139859259,1.379937,0.92,0.99,0.1,47.1,1,0
226,1,0,0,0,0,29,34,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.020853139,10.49187576,0.47,0.39,7,37.9,1,0
117,1,0,0,0,0,13,8,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,0,0,1,0,0,0,0,0,0,0,-0.050754117,0.889704696,0.77,0.79,9.3,57.3,1,0
1007,0,1,0,0,0,41,249,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.706304451,5.085158,0.93,0.978,0.15,42,2,0
830,1,0,0,0,0,14,45,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.055181784,1.135486,0.9,0.97,0.2,45.2,1,0
1071,0,1,0,0,0,184,86,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,3.119593758,1317.02421,0.587777778,0.501111111,4.74,41.6888888888889,2,0
139,0,1,0,0,0,15,32,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.978225419,95.109833,0.93,0.95,0.4,22.6,2,1
185,0,0,1,0,0,18,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5000,0.5,0,1,0,0,0,0,0,0,0,0,-0.167892356,0.679372,0.88,0.96,0,47.4,3,0
210,1,0,0,0,0,5,30,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.157817777,0.695316,0.91,0.96,0.1,55.3,1,0
191,1,0,0,0,0,17,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.39455429,2.480586012,0.85,0.84,1.3,65.6,1,0
62,0,1,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.139859259,1.379937,0.92,0.99,0.1,47.1,2,0
269,0,0,1,0,0,7,141,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.75189182,5.647962704,0.59,0.675,3.55,30.7,4,0
143,1,0,0,0,0,21,217,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.157817777,0.695316,0.91,0.96,0.1,55.3,1,0
55,1,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,1
107,0,0,1,0,0,13,19,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2000,0.5,0,0,1,0,0,0,0,0,0,0,0.164938461,1.46197,0.96,0.99,0.2,47.7,3,0
107,0,1,0,0,0,7,57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,2,0
166,0,1,0,0,0,22,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.167892356,0.679372,0.88,0.96,0,47.4,2,1
134,0,1,0,0,0,14,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.164938461,1.46197,0.96,0.99,0.2,47.7,2,1
275,1,0,0,0,0,14,85,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.842417478,6956.927504,0.41,0.35,0.9,42.2,1,0
238,1,0,0,0,0,45,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,1,1,0,0,0,0,0,0,0,0,0.4242738,2.656279681,0.776,0.826,1.48,42.28,1,0
57,1,0,0,0,0,7,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,0
1392,0,1,0,0,0,104,186,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.143325274,0.718910333,0.92,0.976666667,0.125,40.1666666666667,2,0
59,1,0,0,0,0,7,140,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,0
100,0,1,0,0,0,7,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,2,0
850,1,0,0,0,0,15,44,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,0
183,1,0,0,0,0,22,47,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,0
192,0,1,0,0,0,24,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.167892356,0.679372,0.88,0.96,0.1,47.4,2,0
268,0,1,0,0,0,19,12,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5000,0,1,0,0,0,0,0,0,0,0,0,3.618032152,4149.84764,0.33,0.205,2.8,47.5,2,0
966,1,0,0,0,0,153,88,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,0,0,0,0,1,0,0,0,0,0,0,1,0.92,0.96,0.1,49.3,1,0
976,0,1,0,0,0,204,148,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.217664146,1.650684778,0.823333333,0.796666667,0.566666667,37.9666666666667,2,0
479,1,0,0,0,0,87,14,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,1,0,0,0,0,0,0,0,0,0,1.020853139,10.49187576,0.47,0.39,7,37.9,1,0
201,0,1,0,0,0,13,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.139859259,1.379937,0.92,0.99,0.1,47.1,2,0
416,1,0,0,0,0,152,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.978225419,95.109833,0.93,0.95,0.4,22.6,1,0
81,1,0,0,0,0,44,64,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,0
70,1,0,0,0,0,9,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,1
164,0,0,1,0,0,14,51,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,5,0
428,0,1,0,0,0,7,40,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.139859259,1.379937,0.92,0.99,0.1,47.1,2,0
946,1,0,0,0,0,158,115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.774304399,5.947088474,0.605,0.535,4.35,44.3,1,0
134,1,0,0,0,0,7,7,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,0,0,1,0,0,0,0,0,0,0,0.164938461,1.46197,0.96,0.99,0.2,47.7,1,0
109,1,0,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.92,0.96,0.1,49.3,1,0
309,0,0,1,0,0,22,23,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5000,1,1,0,0,0,0,0,0,0,0,0,0.042644576,1.103175419,0.725,0.82,0.9,37.1,4,0
153,1,0,0,0,0,19,10,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,0
180,1,0,0,0,0,19,23,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,0,1,0,1,0,0,0,0,0,0,0.659688393,4.567603453,0.416666667,0.443333333,0.3,36.0666666666667,1,0
166,0,0,1,0,0,7,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0,0.870105943,7.414910998,0.85,0.71,16.1,75.4,3,0
224,0,1,0,0,0,21,32,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.146883061,0.713045,0.94,0.99,0.1,38.9,2,0
88,1,0,0,0,0,8,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,1,0,0,0,0,0,0,0,0,0,1.286827565,19.35653268,0.56,0.38,4.2,42.8,1,0
367,1,0,0,0,0,42,22,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,0,0,0,0,1,0,0,0,0,0,0.055181784,1.135486,0.9,0.97,0.2,45.2,1,0
1791,1,0,0,0,0,169,33,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,0,1,0,0,0,0,0,0,0,0,-0.167892356,0.679372,0.88,0.96,0,47.4,1,0
319,0,1,0,0,0,23,9,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5000,0,1,0,0,0,0,0,0,0,0,0,3.202201792,1592.948707,0.59,0.396666667,14.33333333,42.7666666666667,2,0
196,0,0,1,0,0,14,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5000,1,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,4,0
222,1,0,0,0,0,38,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.296060706,1.977246,0.91,0.88,0.8,30.7,1,0
629,0,1,0,0,0,32,90,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.179257269,0.661824333,0.9,0.926666667,0.125,50,2,0
