"","quote_price","number_of_days_travelled","quote_delay","extra_cancellation_amount","carer_load_ratio","log_ppp","average_ppp","human_rights_index","rule_of_law_index","water_death_rate","avg_crime_rate","num_people","solo","couple","family","group","others","platform_app","platform_qw","platform_web","discount_0%","discount_5%","discount_10%","discount_15%","discount_20%","Specified Items","Adventure Activities","Snow Sports","Extra Cancellation","Rental Vehicle Insurance Excess","Cruise Cover","Gadget Cover","Existing Medical Condition(s)","Motorcycle Cover","Asia","Europe","Oceania","Middle East","North America","Africa","South America","Central America","Caribbean","Worldwide","convert"
"14",-0.31282476482824,-0.34056464390924,-0.607129943021136,-0.359285349317488,-0.361275372265382,-0.878154842388844,-0.495372119046144,0.746483358361843,0.808968074896135,-0.654741921222734,0.632559611852828,-0.783942778679283,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"0"
"16",0.923095706966988,0.529784450086735,-0.593259977101482,0.793716198503644,-0.361275372265382,0.667060962468755,-0.417188205412515,0.227825526646432,-0.297819434827938,-0.563965689963362,1.96319274921396,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
"17",0.185042812613081,-0.381045997118355,-0.551650079342518,-0.359285349317488,-0.361275372265382,-0.608532800876488,-0.494647416222391,0.102632259142199,-1.16832646272632,3.19417028417465,3.57090687885852,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"18",-0.441665895092607,-0.522730733350258,-0.260380795029774,-0.359285349317488,-0.361275372265382,-0.779165640674723,-0.495176012709553,0.746483358361843,0.920890407214387,-0.654741921222734,0.419916059635311,-0.783942778679283,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"19",-0.16330542847206,-0.42152735032747,2.08364344539184,-0.359285349317488,-0.361275372265382,0.521988104438815,-0.446796869500064,0.800137616630147,0.771660630790051,-0.600276182467111,-1.94815986278704,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"20",-0.389175064244161,-0.25960193749101,0.0447584552026253,-0.359285349317488,-0.361275372265382,0.521988104438815,-0.446796869500064,0.800137616630147,0.771660630790051,-0.600276182467111,-1.94815986278704,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"1"
"21",0.248668062126349,0.266655654227487,-0.315860658708392,-0.359285349317488,0.957368178826317,-0.410869454582176,-0.493527820891128,-0.0315033865285604,0.323971301517043,-0.654741921222734,-2.28790626553458,1.04959308982939,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"22",-0.430531476427785,-0.381045997118355,-0.593259977101482,-0.359285349317488,-0.361275372265382,-0.982115331366671,-0.495520232269695,0.85379187489845,0.920890407214387,-0.654741921222734,-0.372664453175436,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"23",-0.241246359125814,0.145211594600142,-0.607129943021136,0.793716198503644,-0.361275372265382,-0.996985232405018,-0.495537612752965,0.531866325288628,0.808968074896135,-0.672897167474609,0.448912907664973,-0.783942778679283,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"24",-0.422578320238627,-0.25960193749101,-0.454560317904937,-0.359285349317488,-0.361275372265382,0.521988104438815,-0.446796869500064,0.800137616630147,0.771660630790051,-0.600276182467111,-1.94815986278704,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"25",-0.317596658541735,-0.0976765246545492,-0.759699568137336,-0.359285349317488,-0.361275372265382,-1.06424499021403,-0.495606527687905,0.692829100093539,0.585123410259631,-0.663819544348671,-0.126191244923313,-0.783942778679283,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"26",-0.430531476427785,-0.401286673722913,-0.718089670378373,-0.359285349317488,-0.361275372265382,-0.774223909481198,-0.495164469324267,-0.219293290467623,-0.235640360074216,-0.364257981192743,0.767878235991249,-0.783942778679283,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1"
"27",0.0514297886352185,0.00352685836823861,-0.731959636298027,0.793716198503644,-0.361275372265382,-0.878154842388844,-0.495372119046144,0.746483358361843,0.808968074896135,-0.654741921222734,0.632559611852828,-0.783942778679283,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"0"
"28",0.124598825575476,-0.441768026932028,-0.593259977101482,-0.359285349317488,-0.361275372265382,1.72398987888851,1.95476790672168,-0.433910323540838,-1.28024879504457,1.5238876290022,0.32325989953644,-0.783942778679283,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"29",-0.195118053228694,-0.0369544948408765,-0.759699568137336,-0.359285349317488,-0.361275372265382,-0.415886597318351,-0.493566035676045,-1.14930043199641,-0.297819434827938,-0.24322300611973,-0.881720229696163,-0.783942778679283,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"0"
"30",-0.379631276817171,-0.17863923107278,0.00314855744366179,-0.359285349317488,-0.361275372265382,0.521988104438815,-0.446796869500064,0.800137616630147,0.771660630790051,-0.600276182467111,-1.94815986278704,-0.783942778679283,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"31",-0.293737189974259,0.205933624413814,-0.718089670378373,-0.359285349317488,4.91329883210141,-0.938126445865315,-0.495463607697835,0.370903550483717,0.137434080986624,-0.53370694614972,-0.137467796934851,1.04959308982939,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0"
"32",-0.390765695481993,-0.42152735032747,-0.163291033592192,-0.359285349317488,-0.361275372265382,0.374928665009284,-0.465463384143493,0.531866325288628,0.435893633835295,0.833988271430969,1.0201508138493,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"1"
"33",-0.314415396066072,-0.239361260886452,-0.440690351985282,-0.359285349317488,-0.361275372265382,1.51097974681594,0.729647323563415,-0.407083194406687,-0.235640360074216,0.434572853889732,-0.768954709580809,-0.783942778679283,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"1"
"34",-0.362134333201022,-0.239361260886452,0.114108284800898,-0.359285349317488,-0.361275372265382,-0.490230465772066,-0.494064931392778,-3.17027749522433,-1.98909023306016,-0.63658667497086,-1.72585069455964,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"36",0.248668062126349,-0.138157877863664,0.627297023828115,-0.359285349317488,-0.361275372265382,-0.895591680230641,-0.495400583775837,0.344076421349565,0.491854799994421,0.18039940636349,1.01918425224831,0.132825155575053,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"0"
"37",0.0927862008188426,-0.219120584281895,-0.6487398407801,0.793716198503644,0.298046403280468,-0.847971981662568,-0.495318864550145,-0.299774677870079,0.286663857410959,-0.509499951207739,-0.546645541353404,2.88312895833806,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"38",-0.223749415509665,1.86566910598754,-0.0384613403153017,-0.359285349317488,-0.361275372265382,1.51105034405773,0.729928827208724,0.0221508717397433,-0.83255946577156,0.507193838897229,-0.276008293076564,-0.783942778679283,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0"
"39",-0.00265167345105918,0.0844895647864689,-0.593259977101482,-0.359285349317488,2.27601172991802,1.84142083332389,3.0949638061195,-1.98988381332165,-1.46678601557499,-0.509499951207739,-0.0536991248491591,1.96636102408372,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"40",1.1044276680798,1.13700474822346,-0.662609806699754,-0.359285349317488,-0.361275372265382,0.729138383039229,-0.399575769211186,-0.30275547238073,-0.579697899334603,-0.220831535802935,1.29562087013109,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,"0"
"41",-0.258743302741962,-0.0976765246545492,-0.204900931351156,-0.359285349317488,-0.361275372265382,0.245387636872937,-0.475926281959633,-1.72161252198013,-1.46678601557499,1.07908409583127,-0.213181789012298,-0.783942778679283,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"42",-0.22852130922316,-0.42152735032747,0.682776887506733,-0.359285349317488,-0.361275372265382,-0.770162284434654,-0.495154841842923,0.85379187489845,0.920890407214387,-0.645664298096797,0.448912907664973,0.132825155575053,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"43",-0.381221908055003,-0.441768026932028,0.918566308140859,-0.128685039753262,-0.361275372265382,-0.779165640674723,-0.495176012709553,0.746483358361843,0.920890407214387,-0.654741921222734,0.419916059635311,1.04959308982939,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"44",0.119826931861981,0.0237675349727962,-0.315860658708392,0.793716198503644,0.517820328462416,-0.262313650893024,-0.492061031430637,0.370903550483717,-0.123718027755965,2.25009747907718,3.15528539043338,1.96636102408372,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0"
"45",-0.479841044800568,-0.441768026932028,0.793736614863969,-0.359285349317488,-0.361275372265382,0.586172536831289,-0.435397385097103,0.531866325288628,0.435893633835295,0.833988271430969,-0.0295350848244412,-0.783942778679283,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"1"
"46",-0.355771808249696,-0.401286673722913,-0.662609806699754,-0.359285349317488,-0.361275372265382,1.72398987888851,1.95476790672168,-0.433910323540838,-1.28024879504457,1.5238876290022,0.32325989953644,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"47",-0.438484632616944,-0.522730733350258,-0.759699568137336,-0.359285349317488,-0.361275372265382,-0.779165640674723,-0.495176012709553,0.746483358361843,0.920890407214387,-0.654741921222734,0.419916059635311,-0.783942778679283,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"49",-0.395537589195488,-0.563212086559373,-0.704219704458718,0.793716198503644,-0.361275372265382,-0.782200628450229,-0.495183010696122,0.746483358361843,0.920890407214387,-0.654741921222734,-0.367348364369998,-0.783942778679283,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"0"
"50",-0.327140445968725,-0.300083290700125,-0.551650079342518,-0.359285349317488,-0.361275372265382,0.586172536831289,-0.435397385097103,0.531866325288628,0.435893633835295,0.833988271430969,-0.0295350848244412,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"51",-0.414625164049468,-0.320323967304683,-0.315860658708392,-0.359285349317488,-0.361275372265382,1.72398987888851,1.95476790672168,-0.433910323540838,-1.28024879504457,1.5238876290022,0.32325989953644,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"52",0.317065205353112,-0.441768026932028,0.76599668302466,-0.359285349317488,-0.361275372265382,-0.779165640674723,-0.495176012709553,0.746483358361843,0.920890407214387,-0.654741921222734,0.419916059635311,0.132825155575053,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"53",-0.0440080856346833,0.570265803295851,-0.718089670378373,-0.359285349317488,-0.361275372265382,-0.914077451742403,-0.49542904850553,-0.0583305156627123,0.174741525092708,1.01554073394971,1.4058088926438,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"54",-0.304871608639081,-0.320323967304683,-0.718089670378373,-0.359285349317488,-0.361275372265382,1.72398987888851,1.95476790672168,-0.433910323540838,-1.28024879504457,1.5238876290022,0.32325989953644,0.132825155575053,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"0"
"55",-0.179211740850377,-0.25960193749101,0.918566308140859,-0.359285349317488,-0.361275372265382,1.84142083332389,3.0949638061195,-1.98988381332165,-1.46678601557499,-0.509499951207739,-0.0536991248491591,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1"
"56",-0.215796259320506,-0.17863923107278,-0.551650079342518,-0.359285349317488,0.957368178826317,-0.984434246742864,-0.495522998343696,0.639174841825236,0.833839705543773,-0.660793669912842,0.0236258032299379,1.04959308982939,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"57",-0.195118053228694,-0.42152735032747,4.16413833334001,-0.359285349317488,-0.361275372265382,-0.770162284434654,-0.495154841842923,0.85379187489845,0.920890407214387,-0.645664298096797,0.448912907664973,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"58",0.366374773725894,0.307137007436602,-0.704219704458718,-0.359285349317488,-0.361275372265382,0.291502620117615,-0.472695188237999,-0.326601807004231,-0.347562692392468,2.59504715786279,1.31881834855482,0.132825155575053,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0"
"59",0.247077430888517,0.32737768404116,1.91720385435598,-0.359285349317488,2.27601172991802,-0.125962979636172,-0.489924347398134,-1.98988381332165,-2.10101256537842,-0.582120936215237,-0.179352132977693,1.96636102408372,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"1"
"60",-0.370087489390181,-0.42152735032747,0.738256751185351,-0.359285349317488,-0.361275372265382,1.72398987888851,1.95476790672168,-0.433910323540838,-1.28024879504457,1.5238876290022,0.32325989953644,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"61",-0.309643502352576,-0.239361260886452,-0.0939412039939198,-0.359285349317488,-0.361275372265382,0.521988104438815,-0.446796869500064,0.800137616630147,0.771660630790051,-0.600276182467111,-1.94815986278704,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"62",0.0736986259648622,-0.381045997118355,0.419247535033297,-0.359285349317488,-0.361275372265382,-0.779165640674723,-0.495176012709553,0.746483358361843,0.920890407214387,-0.654741921222734,0.419916059635311,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"0"
"63",-0.142627222380248,2.10855722524223,0.252807943997443,-0.359285349317488,-0.361275372265382,-0.996985232405018,-0.495537612752965,0.531866325288628,0.808968074896135,-0.654741921222734,0.448912907664973,-0.783942778679283,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"64",-0.214205628082675,0.185692947809257,-0.426820386065628,-0.359285349317488,2.27601172991802,-0.993399277552626,-0.495533497966263,0.612347712691084,0.808968074896135,-0.654741921222734,0.830704740055516,0.132825155575053,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"66",-0.427350213952122,-0.300083290700125,-0.343600590547701,-0.359285349317488,-0.361275372265382,-0.761415152052392,-0.495133670976293,0.961100391435058,0.920890407214387,-0.63658667497086,0.477909755694635,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"68",0.329790255255765,-0.300083290700125,-0.551650079342518,-0.359285349317488,-0.361275372265382,1.72398987888851,1.95476790672168,-0.433910323540838,-1.28024879504457,1.5238876290022,0.32325989953644,-0.783942778679283,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"69",0.059382944824377,-0.320323967304683,-0.704219704458718,-0.359285349317488,-0.361275372265382,1.72398987888851,1.95476790672168,-0.433910323540838,-1.28024879504457,1.5238876290022,0.32325989953644,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"1"
"70",-0.457572207470924,-0.381045997118355,-0.0107214084759927,-0.359285349317488,2.27601172991802,0.521988104438815,-0.446796869500064,0.800137616630147,0.771660630790051,-0.600276182467111,-1.94815986278704,0.132825155575053,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"71",-0.0996801789587926,-0.482249380141143,0.807606580783623,-0.359285349317488,-0.361275372265382,-0.914077451742403,-0.49542904850553,-0.0583305156627123,0.174741525092708,1.01554073394971,1.4058088926438,-0.783942778679283,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1"
"72",-0.150580378569407,0.0440082115773538,-0.510040181583555,-0.359285349317488,-0.361275372265382,-0.861934101047905,-0.495344149903591,0.773310487495995,0.883582963108303,-0.645664298096797,-0.725459437536317,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"0"
"73",-0.479841044800568,-0.502490056745701,-0.510040181583555,-0.359285349317488,-0.361275372265382,-0.779165640674723,-0.495176012709553,0.746483358361843,0.920890407214387,-0.654741921222734,0.419916059635311,-0.783942778679283,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"74",0.450678229330974,-0.239361260886452,0.308287807676061,0.793716198503644,-0.361275372265382,-0.945193474306094,-0.495473259776024,-0.380256065272535,0.808968074896135,-0.654741921222734,-1.86116931869806,-0.783942778679283,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"76",0.0037108515002676,-0.158398554468222,1.18209566061429,-0.359285349317488,-0.361275372265382,-0.839098431062362,-0.495302187286091,0.639174841825236,0.846275519002219,-0.63658667497086,0.236269355447456,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"0"
"78",-0.113995860099278,0.32737768404116,-0.6487398407801,-0.359285349317488,-0.361275372265382,1.66392142388093,1.51975295747588,-1.36391746506963,-1.35486368325674,0.537452582710871,-0.0665866128623391,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1"
"81",-0.152171009807239,0.307137007436602,0.904696342221205,0.793716198503644,-0.361275372265382,-0.996985232405018,-0.495537612752965,0.531866325288628,0.808968074896135,-0.654741921222734,0.448912907664973,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"82",-0.126720910001931,-0.016713818236319,-0.690349738539064,-0.359285349317488,-0.361275372265382,0.0326324327180282,-0.48589730512599,-1.18506993929709,-1.35486368325674,0.0896231751041175,0.00429457121016333,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"0"
"84",1.16646228635524,0.0642488881819113,-0.593259977101482,-0.359285349317488,-0.361275372265382,-0.155618215071487,-0.490472841053563,-1.66795826371182,-1.31755623915065,0.597970070156602,-0.469320613274307,0.132825155575053,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"85",1.45277590916494,0.752431892736869,0.46085743279226,0.793716198503644,-0.361275372265382,-1.02459775545816,-0.495567739509113,0.710713851061165,0.672174111930246,-0.654741921222734,0.0848413712925531,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"87",-0.479841044800568,-0.42152735032747,-0.759699568137336,-0.359285349317488,-0.361275372265382,0.521988104438815,-0.446796869500064,0.800137616630147,0.771660630790051,-0.600276182467111,-1.94815986278704,-0.783942778679283,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1"
"88",-0.471887888611409,-0.441768026932028,-0.718089670378373,-0.359285349317488,-0.361275372265382,-0.779165640674723,-0.495176012709553,0.746483358361843,0.920890407214387,-0.654741921222734,0.419916059635311,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"89",-0.193527421990863,0.00352685836823861,-0.288120726869083,-0.359285349317488,-0.361275372265382,-0.155618215071487,-0.490472841053563,-1.66795826371182,-1.31755623915065,0.597970070156602,-0.469320613274307,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
